year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
1990,WP051990,35.0,25.0,55.0,25.5,43.5,20.0,30.0,50.0,985.0,1000.0,980.0,short,17.0,19.4,23.5
1991,WP051991,35.0,29.0,105.0,43.5,73.5,70.0,76.0,146.0,1002.0,1002.0,950.0,medium,12.6,14.4,22.4
1992,WP051992,35.0,40.0,75.0,31.5,91.5,40.0,35.0,75.0,1000.0,1004.0,965.0,medium,13.7,15.7,21.5
1994,WP051994,35.0,23.0,55.0,43.5,76.5,20.0,32.0,52.0,1000.0,1001.0,985.0,medium,20.1,19.6,23.9
1995,WP051995,35.0,35.0,105.0,109.5,85.5,70.0,70.0,140.0,1002.0,1006.0,950.0,medium,17.8,25.5,43.7
1996,WP051996,35.0,29.0,60.0,61.5,40.5,25.0,31.0,56.0,1000.0,1005.0,994.0,medium,17.4,20.5,24.8
1997,WP051997,35.0,28.0,45.0,25.5,58.5,10.0,17.0,27.0,996.0,1000.0,992.0,short,18.4,21.8,31.0
1998,WP051998,35.0,33.0,60.0,73.5,22.5,25.0,27.0,52.0,1004.0,997.0,985.0,short,16.4,20.4,23.0
1999,WP051999,35.0,20.0,110.0,61.5,49.5,75.0,90.0,165.0,996.0,1002.0,970.0,medium,15.4,19.9,22.7
2000,WP052000,35.0,45.0,115.0,43.5,103.5,80.0,70.0,150.0,996.0,985.0,940.0,medium,14.5,19.2,42.0
2001,WP052001,35.0,29.0,75.0,43.5,43.5,40.0,46.0,86.0,1000.0,996.0,970.0,short,16.6,20.8,22.8
2002,WP052002,35.0,43.0,140.0,85.5,52.5,105.0,97.0,202.0,1004.0,988.0,935.0,medium,9.8,19.3,38.1
2003,WP052003,38.0,44.0,55.0,28.5,100.5,17.0,11.0,28.0,1000.0,985.0,980.0,medium,16.2,16.1,33.1
2004,WP052004,35.0,25.0,35.0,1.5,55.5,0.0,10.0,10.0,1004.0,1002.0,1002.0,short,9.7,9.7,11.0
2005,WP052005,35.0,23.0,140.0,115.5,121.5,105.0,117.0,222.0,1006.0,1000.0,920.0,long,22.8,20.7,28.8
2006,WP052006,35.0,21.0,50.0,31.5,118.5,15.0,29.0,44.0,998.0,991.0,970.0,medium,14.1,17.6,27.0
2007,WP052007,35.0,29.0,120.0,73.5,82.5,85.0,91.0,176.0,1002.0,1000.0,945.0,medium,18.2,25.1,42.0
2008,WP052008,35.0,34.0,75.0,37.5,70.5,40.0,41.0,81.0,1002.0,998.0,975.0,medium,14.0,16.3,30.6
2009,WP052009,35.0,25.0,35.0,1.5,43.5,0.0,10.0,10.0,994.0,1000.0,992.0,short,19.8,19.8,20.8
2010,WP052010,35.0,33.0,55.0,43.5,52.5,20.0,22.0,42.0,990.0,996.0,985.0,short,24.3,33.1,40.2
2012,WP052012,35.0,40.0,130.0,115.5,70.5,95.0,90.0,185.0,1006.0,980.0,930.0,medium,9.6,16.2,36.2
2013,WP052013,35.0,22.0,35.0,1.5,64.5,0.0,13.0,13.0,996.0,999.0,990.0,short,19.1,19.1,21.4
2014,WP052014,35.0,25.0,35.0,1.5,139.5,0.0,10.0,10.0,1004.0,1004.0,998.0,medium,2.6,2.6,8.5
2015,WP052015,35.0,23.0,45.0,7.5,58.5,10.0,22.0,32.0,1004.0,1006.0,998.0,short,8.7,8.8,9.2
2016,WP052016,35.0,25.0,65.0,37.5,22.5,30.0,40.0,70.0,998.0,1004.0,980.0,short,18.4,20.2,22.7
2017,WP052017,35.0,43.0,65.0,34.5,37.5,30.0,22.0,52.0,1002.0,992.0,985.0,short,20.6,28.6,35.7
2018,WP052018,35.0,19.0,40.0,37.5,97.5,5.0,21.0,26.0,1000.0,998.0,998.0,medium,20.5,21.0,24.9
2019,WP052019,35.0,22.0,35.0,1.5,34.5,0.0,13.0,13.0,992.0,1000.0,992.0,short,19.1,19.1,22.8
2020,WP052020,35.0,35.0,40.0,7.5,28.5,5.0,5.0,10.0,996.0,998.0,994.0,short,25.3,27.5,38.4
2021,WP052021,35.0,25.0,35.0,1.5,25.5,0.0,10.0,10.0,996.0,998.0,996.0,short,19.7,19.7,20.7
2022,WP052022,35.0,25.0,45.0,28.5,70.5,10.0,20.0,30.0,999.0,1000.0,994.0,short,19.9,24.7,33.0
2023,WP052023,35.0,28.0,130.0,67.5,94.5,95.0,102.0,197.0,998.0,997.0,925.0,medium,14.4,17.6,29.6
2024,WP052024,35.0,19.0,125.0,97.5,109.5,90.0,106.0,196.0,1000.0,998.0,935.0,long,15.9,24.2,30.2
1982,WP061982,34.0,40.0,55.0,142.5,22.5,21.0,15.0,36.0,997.0,997.0,985.0,medium,16.6,24.8,29.1
1983,WP061983,35.0,30.0,45.0,13.5,25.5,10.0,15.0,25.0,996.0,994.0,992.0,short,19.8,19.9,24.0
1984,WP061984,35.0,40.0,125.0,109.5,88.5,90.0,85.0,175.0,996.0,982.0,915.0,medium,21.4,22.8,41.7
1985,WP061985,35.0,58.0,90.0,100.5,52.5,55.0,32.0,87.0,999.0,973.0,960.0,medium,9.1,24.4,39.7
1986,WP061986,35.0,23.0,50.0,37.5,64.5,15.0,27.0,42.0,1000.0,1000.0,985.0,medium,15.4,16.8,27.4
1987,WP061987,35.0,23.0,65.0,55.5,64.5,30.0,42.0,72.0,1000.0,1000.0,985.0,medium,12.4,17.9,29.7
1988,WP061988,35.0,29.0,115.0,97.5,73.5,80.0,86.0,166.0,1004.0,998.0,940.0,medium,11.9,16.3,25.0
1989,WP061989,35.0,35.0,35.0,1.5,25.5,0.0,0.0,0.0,992.0,990.0,985.0,short,21.0,21.0,33.0
1990,WP061990,35.0,30.0,90.0,115.5,58.5,55.0,60.0,115.0,994.0,996.0,970.0,medium,9.4,21.0,34.6
1991,WP061991,35.0,23.0,80.0,55.5,55.5,45.0,57.0,102.0,998.0,1000.0,970.0,medium,14.2,18.5,22.4
1992,WP061992,35.0,30.0,55.0,19.5,13.5,20.0,25.0,45.0,1000.0,1002.0,1000.0,short,20.7,22.3,23.7
1993,WP061993,35.0,25.0,130.0,175.5,121.5,95.0,105.0,200.0,1008.0,1002.0,905.0,long,6.6,13.6,23.3
1994,WP061994,35.0,28.0,45.0,7.5,34.5,10.0,17.0,27.0,1002.0,999.0,996.0,short,16.5,17.3,22.2
1995,WP061995_1,35.0,19.0,65.0,43.5,85.5,30.0,46.0,76.0,998.0,1000.0,980.0,medium,18.3,19.5,32.0
1996,WP061996,35.0,60.0,75.0,61.5,76.5,40.0,15.0,55.0,996.0,987.0,970.0,medium,20.9,25.5,45.1
1997,WP061997,35.0,58.0,90.0,55.5,46.5,55.0,32.0,87.0,1002.0,993.0,965.0,medium,13.6,22.0,31.0
1998,WP061998,35.0,55.0,115.0,121.5,232.5,80.0,60.0,140.0,1005.0,980.0,955.0,long,18.5,27.0,43.9
1999,WP061999,35.0,19.0,105.0,76.5,97.5,70.0,86.0,156.0,1001.0,1004.0,955.0,medium,12.5,18.9,25.2
2000,WP062000,35.0,30.0,75.0,37.5,82.5,40.0,45.0,85.0,992.0,994.0,960.0,medium,19.3,19.7,35.4
2001,WP062001,35.0,21.0,80.0,55.5,82.5,45.0,59.0,104.0,990.0,996.0,960.0,medium,10.4,18.8,23.9
2003,WP062003,35.0,25.0,45.0,13.5,52.5,10.0,20.0,30.0,994.0,994.0,985.0,short,17.8,19.3,28.4
