year,ID,start_V,end_V,LMI,duration_before_LMI,duration_after_LMI,intensity_range_1,intensity_range_2,total_intensity_range,start_P,end_P,LMP,type,start_lat,LMI_lat,end_lat
2024,EP032024,35.0,40.0,80.0,61.5,70.5,45.0,40.0,85.0,1005.0,1003.0,979.0,medium,15.0,18.7,20.6
1982,EP041982,35.0,25.0,100.0,85.5,277.5,65.0,75.0,140.0,,,,long,10.1,14.3,20.4
1983,EP041983,35.0,20.0,60.0,31.5,97.5,25.0,40.0,65.0,,,,medium,13.5,16.9,19.5
1984,EP041984,35.0,25.0,125.0,79.5,187.5,90.0,100.0,190.0,,,,long,10.4,13.8,20.7
1985,EP041985,35.0,25.0,100.0,85.5,109.5,65.0,75.0,140.0,,,,medium,10.5,17.5,26.9
1986,EP041986,35.0,25.0,35.0,1.5,49.5,0.0,10.0,10.0,,,,short,18.1,18.1,19.5
1987,EP041987,35.0,25.0,50.0,49.5,61.5,15.0,25.0,40.0,,,,medium,15.8,17.9,21.7
1988,EP041988,35.0,20.0,55.0,97.5,67.5,20.0,35.0,55.0,1005.0,1010.0,994.0,medium,15.1,22.2,25.5
1990,EP041990,35.0,30.0,55.0,31.5,67.5,20.0,25.0,45.0,1005.0,1009.0,992.0,short,14.2,16.7,20.9
1991,EP041991,35.0,25.0,75.0,43.5,73.5,40.0,50.0,90.0,998.0,1004.0,979.0,medium,14.9,17.8,18.2
1992,EP041992,35.0,20.0,125.0,85.5,181.5,90.0,105.0,195.0,1003.0,1010.0,935.0,long,12.3,14.7,20.3
1993,EP041993,35.0,20.0,95.0,61.5,37.5,60.0,75.0,135.0,1005.0,1007.0,966.0,short,12.7,18.2,23.5
1994,EP041994,35.0,25.0,55.0,19.5,121.5,20.0,30.0,50.0,1005.0,1004.0,993.0,medium,11.7,11.5,16.6
1995,EP041995,35.0,25.0,65.0,37.5,55.5,30.0,40.0,70.0,1002.0,1009.0,985.0,short,18.1,20.8,20.6
1996,EP041996,35.0,25.0,80.0,25.5,49.5,45.0,55.0,100.0,1006.0,1007.0,979.0,short,14.0,16.6,19.0
1997,EP041997,35.0,25.0,45.0,13.5,43.5,10.0,20.0,30.0,1002.0,1009.0,996.0,short,17.0,18.2,19.5
1998,EP041998,35.0,25.0,50.0,40.5,55.5,15.0,25.0,40.0,1004.0,1008.0,997.0,short,17.2,21.8,22.8
2001,EP042001,35.0,25.0,35.0,1.5,55.5,0.0,10.0,10.0,1005.0,1008.0,1001.0,short,16.2,16.2,21.1
2002,EP042002,35.0,25.0,55.0,55.5,55.5,20.0,30.0,50.0,1004.0,1010.0,994.0,medium,14.2,16.6,20.0
2003,EP042003,35.0,23.0,35.0,1.5,40.5,0.0,12.0,12.0,1005.0,1008.0,1005.0,short,14.6,14.6,17.7
2004,EP042004,35.0,25.0,75.0,67.5,88.5,40.0,50.0,90.0,1005.0,1008.0,981.0,medium,14.7,16.3,18.9
2005,EP042005,35.0,23.0,40.0,7.5,46.5,5.0,17.0,22.0,1005.0,1011.0,1002.0,short,15.5,16.1,18.5
2006,EP042006,35.0,28.0,75.0,37.5,76.5,40.0,47.0,87.0,1005.0,1009.0,981.0,medium,14.2,17.7,20.5
2008,EP042008,35.0,28.0,35.0,1.5,40.5,0.0,7.0,7.0,1003.0,1005.0,1003.0,short,17.4,17.4,20.7
2009,EP042009,35.0,25.0,90.0,103.5,43.5,55.0,65.0,120.0,1004.0,1007.0,971.0,medium,10.2,10.1,9.4
2010,EP042010,35.0,33.0,140.0,133.5,88.5,105.0,107.0,212.0,1005.0,1006.0,921.0,long,12.8,12.9,15.1
2011,EP042011,35.0,25.0,135.0,73.5,82.5,100.0,110.0,210.0,1005.0,1010.0,929.0,medium,10.4,16.9,24.0
2012,EP042012,35.0,25.0,100.0,73.5,100.5,65.0,75.0,140.0,1004.0,1008.0,961.0,medium,13.8,14.9,15.5
2013,EP042013,35.0,25.0,70.0,61.5,106.5,35.0,45.0,80.0,1005.0,1007.0,984.0,medium,14.2,18.4,16.7
2014,EP042014,35.0,33.0,45.0,43.5,82.5,10.0,12.0,22.0,1003.0,1007.0,999.0,medium,16.3,19.1,22.5
2015,EP042015,35.0,30.0,40.0,7.5,40.5,5.0,10.0,15.0,1004.0,1007.0,1002.0,short,16.6,17.2,21.6
2016,EP042016,35.0,35.0,85.0,79.5,100.5,50.0,50.0,100.0,1005.0,1005.0,972.0,medium,12.6,15.1,22.2
2017,EP042017,35.0,40.0,90.0,37.5,34.5,55.0,50.0,105.0,1005.0,1003.0,974.0,short,14.4,17.6,19.6
2018,EP042018,35.0,23.0,55.0,31.5,46.5,20.0,32.0,52.0,1006.0,1008.0,997.0,short,15.8,16.4,18.1
2021,EP042021,35.0,30.0,60.0,25.5,13.5,25.0,30.0,55.0,1004.0,1001.0,989.0,short,14.7,17.9,21.4
2024,EP042024,35.0,30.0,35.0,1.5,61.5,0.0,5.0,5.0,1006.0,1008.0,1005.0,short,12.4,12.4,15.8
1982,EP051982_2,35.0,25.0,55.0,37.5,37.5,20.0,30.0,50.0,,,,short,10.1,12.3,14.4
1983,EP051983,35.0,20.0,55.0,25.5,67.5,20.0,35.0,55.0,,,,short,11.2,14.2,19.7
1984,EP051984,35.0,25.0,115.0,49.5,175.5,80.0,90.0,170.0,,,,long,12.5,15.7,15.8
1985,EP051985,35.0,25.0,35.0,1.5,163.5,0.0,10.0,10.0,,,,medium,12.4,12.4,12.6
1986,EP051986,35.0,25.0,115.0,85.5,139.5,80.0,90.0,170.0,,,,long,10.4,14.6,18.6
1987,EP051987,35.0,20.0,85.0,61.5,31.5,50.0,65.0,115.0,,,,short,12.3,18.5,22.0
1988,EP051988,35.0,20.0,60.0,25.5,79.5,25.0,40.0,65.0,1007.0,1013.0,992.0,medium,15.1,15.4,13.4
1990,EP051990,35.0,25.0,70.0,37.5,103.5,35.0,45.0,80.0,1006.0,1012.0,990.0,medium,15.2,18.6,20.9
1992,EP051992,35.0,25.0,105.0,67.5,91.5,70.0,80.0,150.0,1004.0,1010.0,968.0,medium,11.8,19.9,29.1
1993,EP051993,35.0,25.0,115.0,49.5,97.5,80.0,90.0,170.0,1006.0,1010.0,945.0,medium,11.6,13.8,17.3
1994,EP051994,35.0,25.0,140.0,79.5,127.5,105.0,115.0,220.0,1006.0,1010.0,926.0,long,8.8,11.7,21.3
1995,EP051995,35.0,20.0,55.0,85.5,109.5,20.0,35.0,55.0,1004.0,1008.0,994.0,medium,13.8,16.2,20.7
1996,EP051996,35.0,25.0,60.0,31.5,13.5,25.0,35.0,60.0,1005.0,1007.0,991.0,short,10.2,15.3,16.1
1998,EP051998,35.0,25.0,100.0,37.5,163.5,65.0,75.0,140.0,1005.0,1013.0,958.0,long,13.1,15.2,23.6
1999,EP051999,35.0,25.0,35.0,1.5,43.5,0.0,10.0,10.0,1005.0,1007.0,1005.0,short,15.0,15.0,18.5
2001,EP052001,35.0,25.0,65.0,73.5,97.5,30.0,40.0,70.0,1004.0,1007.0,987.0,medium,12.4,18.2,22.4
2002,EP052002,35.0,25.0,90.0,52.5,94.5,55.0,65.0,120.0,1006.0,1009.0,970.0,medium,13.4,17.2,21.5
2003,EP052003,35.0,28.0,55.0,16.5,46.5,20.0,27.0,47.0,1003.0,1006.0,993.0,short,14.6,15.3,20.0
2004,EP052004,35.0,25.0,105.0,55.5,73.5,70.0,80.0,150.0,1003.0,1007.0,957.0,medium,12.5,16.8,19.3
2005,EP052005,35.0,25.0,60.0,31.5,28.5,25.0,35.0,60.0,1000.0,1005.0,989.0,short,15.2,19.5,22.2
2006,EP052006,35.0,25.0,130.0,109.5,118.5,95.0,105.0,200.0,1005.0,1009.0,933.0,long,12.3,13.5,16.1
2009,EP052009,35.0,38.0,50.0,13.5,16.5,15.0,12.0,27.0,1005.0,1003.0,997.0,short,14.9,16.9,18.7
2010,EP052010,35.0,28.0,105.0,61.5,70.5,70.0,77.0,147.0,1005.0,1004.0,959.0,medium,11.3,13.6,14.2
2011,EP052011,35.0,43.0,120.0,82.5,61.5,85.0,77.0,162.0,1004.0,1004.0,942.0,medium,10.6,15.9,18.8
2012,EP052012,35.0,33.0,120.0,55.5,130.5,85.0,87.0,172.0,1003.0,1005.0,945.0,medium,10.3,13.6,15.4
2013,EP052013,35.0,33.0,70.0,37.5,64.5,35.0,37.0,72.0,1005.0,1005.0,983.0,medium,14.4,17.4,23.3
2014,EP052014,45.0,28.0,45.0,1.5,46.5,0.0,17.0,17.0,1004.0,1008.0,1002.0,short,17.0,17.0,17.0
2015,EP052015,35.0,35.0,115.0,85.5,82.5,80.0,80.0,160.0,1004.0,1004.0,946.0,medium,12.2,18.1,23.3
2016,EP052016,35.0,28.0,105.0,103.5,208.5,70.0,77.0,147.0,1006.0,1011.0,958.0,long,15.9,17.9,22.3
2017,EP052017,35.0,30.0,100.0,49.5,70.5,65.0,70.0,135.0,1007.0,1006.0,966.0,medium,11.6,16.3,23.5
2018,EP052018,35.0,28.0,40.0,7.5,34.5,5.0,12.0,17.0,1006.0,1007.0,1004.0,short,15.5,16.6,19.7
2019,EP052019,35.0,23.0,40.0,7.5,46.5,5.0,17.0,22.0,1005.0,1009.0,1004.0,short,17.8,18.3,21.6
2020,EP052020,35.0,35.0,60.0,85.5,46.5,25.0,25.0,50.0,1005.0,1006.0,993.0,medium,11.4,19.4,20.6
2021,EP052021,35.0,30.0,80.0,49.5,79.5,45.0,50.0,95.0,1006.0,1005.0,972.0,medium,15.2,17.5,24.3
2022,EP052022,35.0,35.0,120.0,49.5,127.5,85.0,85.0,170.0,1006.0,1007.0,953.0,medium,14.2,14.6,17.7
2023,EP052023,35.0,25.0,130.0,115.5,256.5,95.0,105.0,200.0,1006.0,995.0,939.0,long,15.7,13.2,27.3
2024,EP052024,35.0,33.0,60.0,55.5,34.5,25.0,27.0,52.0,1003.0,1004.0,988.0,short,15.2,16.2,21.5
1982,EP061982,35.0,25.0,70.0,43.5,133.5,35.0,45.0,80.0,,,,medium,11.6,15.4,19.2
1983,EP061983,35.0,25.0,50.0,7.5,43.5,15.0,25.0,40.0,,,,short,20.0,20.3,20.8
1984,EP061984,35.0,25.0,95.0,58.5,97.5,60.0,70.0,130.0,,,,medium,15.9,18.2,23.9
1985,EP061985,35.0,20.0,60.0,25.5,67.5,25.0,40.0,65.0,,,,short,15.5,19.3,23.3
1986,EP061986,35.0,30.0,75.0,79.5,61.5,40.0,45.0,85.0,,,,medium,14.1,17.8,22.8
1987,EP061987,35.0,25.0,55.0,19.5,133.5,20.0,30.0,50.0,,,,medium,12.3,12.6,12.7
1988,EP061988,35.0,20.0,120.0,118.5,151.5,85.0,100.0,185.0,1005.0,1012.0,943.0,long,12.0,14.7,18.0
1989,EP061989,35.0,25.0,80.0,91.5,127.5,45.0,55.0,100.0,1005.0,977.0,977.0,long,10.4,13.9,20.7
1991,EP061991,35.0,25.0,65.0,31.5,343.5,30.0,40.0,70.0,1005.0,1013.0,987.0,long,10.2,12.6,29.4
1992,EP061992,35.0,25.0,120.0,97.5,85.5,85.0,95.0,180.0,1005.0,1009.0,943.0,medium,12.6,16.8,23.5
1993,EP061993,35.0,25.0,110.0,73.5,133.5,75.0,85.0,160.0,1003.0,1010.0,948.0,long,11.4,14.9,19.4
1994,EP061994,35.0,25.0,40.0,7.5,103.5,5.0,15.0,20.0,1005.0,1010.0,1002.0,medium,13.7,14.1,16.8
1995,EP061995,35.0,25.0,55.0,19.5,73.5,20.0,30.0,50.0,1004.0,1006.0,994.0,short,16.2,17.2,20.7
1997,EP061997,35.0,25.0,80.0,82.5,85.5,45.0,55.0,100.0,1002.0,1010.0,975.0,medium,13.2,17.5,23.2
1998,EP061998,35.0,25.0,115.0,73.5,157.5,80.0,90.0,170.0,1002.0,1010.0,948.0,long,14.7,16.8,22.6
2000,EP062000,35.0,25.0,110.0,49.5,253.5,75.0,85.0,160.0,1004.0,1017.0,954.0,long,10.9,14.3,36.1
2002,EP062002,35.0,23.0,140.0,43.5,130.5,105.0,117.0,222.0,1004.0,1012.0,921.0,medium,11.9,14.3,29.1
2003,EP062003,35.0,23.0,45.0,7.5,118.5,10.0,22.0,32.0,1005.0,1010.0,1000.0,medium,14.6,14.9,17.6
